Brand,Store Number,Name,Ownership Type,Facility ID,Features - Products,Features - Service,Features - Stations,Food Region,Venue Type,Phone Number,Location,Street Address,Street Line 1,Street Line 2,City,State,Zip,Country,Coordinates,Latitude,Longitude,Insert Date
Starbucks,11757,Wilmington Crossing,Company Owned,10569,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,978-658-2541,"271 Main St., Space #253
Wilmington, MA 01887-2321
(42.555543, -71.181095)","271 Main St., Space #253",271 Main St.,Space #253,Wilmington,MA,01887-2321,US,"(42.555543, -71.181095)",42.555543,-71.181095,06/22/2012 06:17:10 PM
Starbucks,8650,Billerica,Company Owned,9728,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,978-436-9180,"199 Boston Road, Unit 15
Billerica, MA 01862-2328
(42.581632, -71.289347)","199 Boston Road, Unit 15",199 Boston Road,Unit 15,Billerica,MA,01862-2328,US,"(42.581632, -71.289347)",42.581632,-71.289347,06/22/2012 06:17:10 PM
Starbucks,9269,Reading Walkers Brook,Company Owned,9565,"Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,781-942-8290,"24 Walkers Brook Drive
Reading, MA 01867-3224
(42.519991, -71.093858)",24 Walkers Brook Drive,24 Walkers Brook Drive,,Reading,MA,01867-3224,US,"(42.519991, -71.093858)",42.519991,-71.093858,06/22/2012 06:17:10 PM
Starbucks,7356,Salem-Dodge Street,Company Owned,15999,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,978-825-0824,"211 Washington Street
Salem, MA 01970-3607
(42.518951, -70.894874)",211 Washington Street,211 Washington Street,,Salem,MA,01970-3607,US,"(42.518951, -70.894874)",42.518951,-70.894874,06/22/2012 06:17:10 PM
Starbucks,7772,Reading,Company Owned,11531,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,781-942-0168,"288 Main Street
Reading, MA 01867-3610
(42.515659, -71.104029)",288 Main Street,288 Main Street,,Reading,MA,01867-3610,US,"(42.515659, -71.104029)",42.515659,-71.104029,06/22/2012 06:17:10 PM
Starbucks,15489,Target Woburn T-1266,Licensed,65856,,,,0,Unknown,781-904-0002,"101 Commerce Way
Woburn, MA 01801-1007
(42.518122, -71.135588)",101 Commerce Way,101 Commerce Way,,Woburn,MA,01801-1007,US,"(42.518122, -71.135588)",42.518122,-71.135588,06/22/2012 06:17:10 PM
Starbucks,9984,"Woburn, Commerce Way",Company Owned,14595,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,781-933-4672,"99 Commerce Way
Woburn, MA 01801-5199
(42.517323483467, -71.135712417913)",99 Commerce Way,99 Commerce Way,,Woburn,MA,01801-5199,US,"(42.517323483467, -71.135712417913)",42.517323483467,-71.135712417913,06/22/2012 06:17:10 PM
Starbucks,75861,Maine Turnpike Kennebunk North,Licensed,17214,,,,9999,Unknown,207-985-4234,"maine Trnpike Northbound exit 24
Kennebunk, ME 04043-7020
(43.385365, -70.54211)",maine Trnpike Northbound exit 24,maine Trnpike Northbound exit 24,,Kennebunk,ME,04043-7020,US,"(43.385365, -70.54211)",43.385365,-70.54211,06/22/2012 06:17:10 PM
Starbucks,75860,"Kennebunk South, Maine Turnpike",Licensed,17215,,,,9999,Unknown,207-985-4817,"Maine Turnpike Southbound MM 24
kennebunk, ME 04043-7020
(43.385365, -70.54211)",Maine Turnpike Southbound MM 24,Maine Turnpike Southbound MM 24,,kennebunk,ME,04043-7020,US,"(43.385365, -70.54211)",43.385365,-70.54211,06/22/2012 06:17:10 PM
Starbucks,7812,"Woburn, West Cummings Park",Company Owned,15300,"Lunch, Oven-warmed Food, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,781-938-9305,"200 W Cummings Park, 1
Woburn, MA 01801-6333
(42.49818, -71.125908)","200 W Cummings Park, 1",200 W Cummings Park,1,Woburn,MA,01801-6333,US,"(42.49818, -71.125908)",42.49818,-71.125908,06/22/2012 06:17:10 PM
Starbucks,7522,Marblehead,Company Owned,14955,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,781-639-0368,"89 Pleasant Street
Marblehead, MA 01945-3389
(42.502632, -70.856048)",89 Pleasant Street,89 Pleasant Street,,Marblehead,MA,01945-3389,US,"(42.502632, -70.856048)",42.502632,-70.856048,06/22/2012 06:17:10 PM
Starbucks,13978,"Saugus, The Shops at Saugus",Company Owned,7694,"Lunch, Oven-warmed Food",Starbucks Card Mobile,Drive-Through,9999,Unknown,781-231-4928,"366 B Broadway
Saugus, MA 01906-1902
(42.488115938014, -71.0194)",366 B Broadway,366 B Broadway,,Saugus,MA,01906-1902,US,"(42.488115938014, -71.0194)",42.488115938014,-71.0194,06/22/2012 06:17:10 PM
Starbucks,802,Swampscot,Company Owned,13568,"Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,781-581-9001,"1016 Paradise Road
Swampscott, MA 01907-1352
(42.484973, -70.901011)",1016 Paradise Road,1016 Paradise Road,,Swampscott,MA,01907-1352,US,"(42.484973, -70.901011)",42.484973,-70.901011,06/22/2012 06:17:10 PM
Starbucks,7269,Saugus,Company Owned,12092,"Clover Crafted Small Batch Coffee, Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,781-233-4173,"723 Broadway
Saugus, MA 01906-3207
(42.478313, -71.023173)",723 Broadway,723 Broadway,,Saugus,MA,01906-3207,US,"(42.478313, -71.023173)",42.478313,-71.023173,06/22/2012 06:17:10 PM
Starbucks,9913,Westford Valley Marketplace,Company Owned,14566,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,978-392-5926,"174 Littleton Road
Westford, MA 01886-3191
(42.566563, -71.421995)",174 Littleton Road,174 Littleton Road,,Westford,MA,01886-3191,US,"(42.566563, -71.421995)",42.566563,-71.421995,06/22/2012 06:17:10 PM
Starbucks,7279,Marketplace at Burlington,Company Owned,16728,"Clover Crafted Small Batch Coffee, Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,781-273-6544,"84 Burlington Mall Road, Suite D
Burlington, MA 01803-4538
(42.48755, -71.20229)","84 Burlington Mall Road, Suite D",84 Burlington Mall Road,Suite D,Burlington,MA,01803-4538,US,"(42.48755, -71.20229)",42.48755,-71.20229,06/22/2012 06:17:10 PM
Starbucks,10598,"Bedford, Great Road",Company Owned,7317,"Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,781-275-0992,"186 Great Road
Bedford, MA 01730-2710
(42.489622, -71.27235)",186 Great Road,186 Great Road,,Bedford,MA,01730-2710,US,"(42.489622, -71.27235)",42.489622,-71.27235,06/22/2012 06:17:10 PM
Starbucks,7258,Melrose Center,Company Owned,12038,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,781-662-0217,"521 Main Street
Melrose, MA 02176-3835
(42.455468, -71.064841)",521 Main Street,521 Main Street,,Melrose,MA,02176-3835,US,"(42.455468, -71.064841)",42.455468,-71.064841,06/22/2012 06:17:10 PM
Starbucks,876,Winchester,Company Owned,11748,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,781-729-1626,"542 Main Street
Winchester, MA 01890-2913
(42.45203, -71.136821)",542 Main Street,542 Main Street,,Winchester,MA,01890-2913,US,"(42.45203, -71.136821)",42.45203,-71.136821,06/22/2012 06:17:10 PM
Starbucks,7553,Lexington/Bedford Rd,Company Owned,13534,"Clover Crafted Small Batch Coffee, Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,781-863-1189,"60 Bedford Street
Lexington, MA 02420-4334
(42.453613, -71.233316)",60 Bedford Street,60 Bedford Street,,Lexington,MA,02420-4334,US,"(42.453613, -71.233316)",42.453613,-71.233316,06/22/2012 06:17:10 PM
Starbucks,866,Lexington,Company Owned,13573,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,781-863-8485,"1729 Massachusetts Ave
Lexington, MA 02420-5306
(42.4475, -71.226705)",1729 Massachusetts Ave,1729 Massachusetts Ave,,Lexington,MA,02420-5306,US,"(42.4475, -71.226705)",42.4475,-71.226705,06/22/2012 06:17:10 PM
Starbucks,76681,Target Biddeford T-2166,Licensed,10138,,Starbucks Card Mobile,,9999,Unknown,207-284-2510,"585 Alfred Rd
Biddeford, ME 04005
(43.474469, -70.513594)",585 Alfred Rd,585 Alfred Rd,,Biddeford,ME,04005,US,"(43.474469, -70.513594)",43.474469,-70.513594,06/22/2012 06:17:10 PM
Starbucks,7283,Medford - Star Market,Company Owned,17646,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,781-396-3630,"2151 Mystic Valley Parkway
Medford, MA 02155-3757
(42.417173, -71.126646)",2151 Mystic Valley Parkway,2151 Mystic Valley Parkway,,Medford,MA,02155-3757,US,"(42.417173, -71.126646)",42.417173,-71.126646,06/22/2012 06:17:10 PM
Starbucks,7364,"Mass. Ave., Arlington",Company Owned,13499,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,781-646-9366,"1465 Massachusetts Ave
Arlington, MA 02476-4103
(42.425296, -71.188507)",1465 Massachusetts Ave,1465 Massachusetts Ave,,Arlington,MA,02476-4103,US,"(42.425296, -71.188507)",42.425296,-71.188507,06/22/2012 06:17:10 PM
Starbucks,7205,Arlington,Company Owned,16694,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,781-641-2893,"327 Broadway
Arlington, MA 02474-5303
(42.414751, -71.15099)",327 Broadway,327 Broadway,,Arlington,MA,02474-5303,US,"(42.414751, -71.15099)",42.414751,-71.15099,06/22/2012 06:17:10 PM
Starbucks,8988,Station Landing,Company Owned,7158,"Clover Crafted Small Batch Coffee, Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,781-395-0660,"5 Revere Beach Pkwy., Station Landing Phase 1
Medford, MA 02155-5159
(42.404329, -71.081279)","5 Revere Beach Pkwy., Station Landing Phase 1",5 Revere Beach Pkwy.,Station Landing Phase 1,Medford,MA,02155-5159,US,"(42.404329, -71.081279)",42.404329,-71.081279,06/22/2012 06:17:10 PM
Starbucks,10037,"Tilton, Tanger Outlet",Company Owned,8491,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,603-286-2640,"120 Laconia Road, Suite 100
Tilton, NH 03276-5235
(43.457104, -71.563661)","120 Laconia Road, Suite 100","120 Laconia Road, Suite 100",,Tilton,NH,03276-5235,US,"(43.457104, -71.563661)",43.457104,-71.563661,06/22/2012 06:17:10 PM
Starbucks,76315,Target Revere T-1942,Licensed,14668,,Starbucks Card Mobile,,9999,Unknown,781-922-6030,"36 Furlong Dr
Revere, MA 02151-4006
(42.400825, -71.001876)",36 Furlong Dr,36 Furlong Dr,,Revere,MA,02151-4006,US,"(42.400825, -71.001876)",42.400825,-71.001876,06/22/2012 06:17:10 PM
Starbucks,816,Concord,Company Owned,11750,"Clover Crafted Small Batch Coffee, Lunch, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,978-287-0183,"159 Sudbury Road
Concord, MA 01742-3429
(42.455669, -71.355854)",159 Sudbury Road,159 Sudbury Road,,Concord,MA,01742-3429,US,"(42.455669, -71.355854)",42.455669,-71.355854,06/22/2012 06:17:10 PM
Starbucks,15208,Target Everett T-1229,Licensed,20298,,,,0,Unknown,617-420-0000,"1 Mystic View Rd
Everett, MA 02149-2428
(42.401847, -71.069932)",1 Mystic View Rd,1 Mystic View Rd,,Everett,MA,02149-2428,US,"(42.401847, -71.069932)",42.401847,-71.069932,06/22/2012 06:17:10 PM
Starbucks,14138,East Boston,Company Owned,7561,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,617-561-3704,"430 McClellan Highway
East Boston, MA 02128-1144
(42.393203, -71.012803)",430 McClellan Highway,430 McClellan Highway,,East Boston,MA,02128-1144,US,"(42.393203, -71.012803)",42.393203,-71.012803,06/22/2012 06:17:10 PM
Starbucks,78032,BOS Term B AA Pre-Security,Licensed,11021,,,,9999,Airport,617-634-6097,"440 McClellan Highway
Boston, MA 02128-1125
(42.393095, -71.013054)",440 McClellan Highway,440 McClellan Highway,,Boston,MA,02128-1125,US,"(42.393095, -71.013054)",42.393095,-71.013054,06/22/2012 06:17:10 PM
Starbucks,7502,Davis Square Plaza,Company Owned,14934,"Clover Crafted Small Batch Coffee, Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,617-623-4497,"260 Elm Street
Somerville, MA 02144-2951
(42.395759, -71.122297)",260 Elm Street,260 Elm Street,,Somerville,MA,02144-2951,US,"(42.395759, -71.122297)",42.395759,-71.122297,06/22/2012 06:17:10 PM
Starbucks,871,Belmont,Company Owned,12022,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,617-484-3213,"47 Leonard St.
Belmont, MA 02478-2526
(42.397256, -71.175393)",47 Leonard St.,47 Leonard St.,,Belmont,MA,02478-2526,US,"(42.397256, -71.175393)",42.397256,-71.175393,06/22/2012 06:17:10 PM
Starbucks,7835,"Acton, Kelly's Corner",Company Owned,15302,"Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,978-264-1992,"411 Massachusettes Ave
Acton, MA 01720-3739
(42.47491, -71.451609)",411 Massachusettes Ave,411 Massachusettes Ave,,Acton,MA,01720-3739,US,"(42.47491, -71.451609)",42.47491,-71.451609,06/22/2012 06:17:10 PM
Starbucks,8873,"Cambridge, Fresh Pond",Company Owned,14891,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,617-876-1070,"222 Alewife Brook Parkway
Cambridge, MA 02138
(42.389322, -71.141328)",222 Alewife Brook Parkway,222 Alewife Brook Parkway,,Cambridge,MA,02138,US,"(42.389322, -71.141328)",42.389322,-71.141328,06/22/2012 06:17:10 PM
